d,BD6,DF132,LD12,KD42
1067,18174,19277,17508,19082
1068,18203,19306,17533,19105
1069,18237,19340,17562,19133
1070,18275,19376,17596,19167
1071,18317,19415,17633,19207
1072,18361,19455,17673,19251
1073,18408,19496,17716,19297
1074,18457,19536,17762,19344
1075,18507,19577,17808,19389
1076,18555,19618,17852,19431
1077,18598,19660,17894,19470
1078,18634,19698,17930,19504
1079,18662,19733,17961,19533
1080,18683,19762,17985,19557
1081,18698,19783,18004,19578
1082,18709,19797,18019,19594
1083,18718,19805,18030,19606
1084,18725,19807,18038,19614
1085,18729,19804,18042,19618
1086,18729,19798,18044,19617
1087,18724,19790,18042,19613
1088,18715,19781,18038,19606
1089,18704,19773,18033,19600
1090,18693,19768,18028,19595
1091,18685,19767,18024,19593
1092,18680,19771,18022,19594
1093,18681,19780,18023,19596
1094,18686,19793,18025,19601
1095,18696,19807,18030,19607
1096,18711,19823,18038,19615
1097,18728,19838,18049,19625
1098,18748,19854,18063,19638
1099,18769,19870,18081,19656
1100,18792,19888,18102,19677
1101,18816,19907,18127,19701
1102,18841,19929,18153,19728
1103,18868,19952,18180,19755
1104,18895,19975,18207,19780
1105,18921,19997,18233,19803
1106,18943,20016,18256,19823
1107,18961,20033,18276,19839
1108,18973,20048,18292,19852
1109,18981,20060,18304,19864
1110,18986,20070,18313,19874
1111,18992,20079,18320,19884
1112,19000,20086,18327,19895
1113,19011,20092,18335,19907
1114,19023,20098,18344,19921
1115,19034,20104,18355,19935
1116,19046,20111,18369,19950
1117,19057,20119,18384,19965
1118,19070,20129,18401,19980
1119,19084,20143,18420,19996
1120,19102,20161,18441,20013
1121,19122,20183,18462,20030
1122,19142,20207,18482,20048
1123,19162,20231,18499,20064
1124,19180,20251,18514,20078
1125,19194,20267,18524,20088
1126,19202,20277,18531,20094
1127,19204,20281,18535,20098
1128,19201,20281,18537,20100
1129,19194,20277,18535,20100
1130,19185,20270,18530,20098
1131,19173,20260,18521,20091
1132,19161,20246,18508,20079
1133,19147,20229,18490,20061
1134,19131,20209,18470,20039
1135,19114,20190,18448,20014
1136,19097,20171,18427,19989
1137,19079,20154,18408,19967
1138,19062,20141,18391,19947
1139,19046,20129,18376,19932
1140,19034,20121,18364,19919
1141,19025,20114,18354,19909
1142,19019,20109,18347,19902
1143,19017,20104,18343,19897
1144,19017,20099,18340,19895
1145,19016,20094,18338,19893
1146,19015,20088,18336,19892
1147,19013,20080,18334,19891
1148,19010,20072,18331,19889
1149,19005,20063,18328,19886
1150,19001,20054,18324,19880
1151,18996,20046,18320,19872
1152,18990,20037,18313,19862
1153,18982,20027,18304,19848
1154,18969,20015,18291,19832
1155,18954,20001,18276,19814
1156,18934,19985,18257,19795
1157,18914,19968,18237,19775
1158,18894,19951,18217,19755
1159,18876,19935,18197,19735
1160,18858,19919,18177,19714
1161,18839,19902,18156,19691
1162,18818,19883,18134,19666
1163,18793,19861,18111,19639
1164,18764,19836,18087,19611
1165,18734,19809,18063,19584
1166,18703,19780,18040,19557
1167,18675,19751,18018,19532
1168,18651,19723,17998,19507
1169,18632,19697,17981,19485
1170,18618,19675,17966,19464
1171,18608,19658,17952,19446
1172,18600,19647,17941,19432
1173,18593,19640,17931,19421
1174,18586,19637,17923,19413
1175,18579,19636,17917,19407
1176,18573,19635,17912,19402
1177,18569,19633,17909,19396
1178,18567,19629,17907,19392
1179,18566,19624,17906,19388
1180,18565,19619,17906,19386
1181,18565,19615,17907,19386
1182,18563,19611,17908,19386
1183,18560,19608,17909,19386
1184,18557,19606,17909,19385
1185,18554,19604,17910,19384
1186,18554,19604,17912,19385
1187,18558,19606,17916,19388
1188,18564,19611,17922,19395
1189,18574,19621,17930,19405
1190,18585,19635,17939,19417
1191,18596,19651,17948,19430
1192,18608,19669,17958,19444
1193,18620,19686,17969,19456
1194,18632,19700,17980,19468
1195,18644,19712,17993,19478
1196,18657,19722,18006,19487
1197,18670,19730,18020,19495
1198,18681,19737,18033,19503
1199,18691,19744,18045,19510
1200,18700,19750,18056,19519
1201,18708,19754,18065,19530
1202,18715,19757,18072,19542
1203,18722,19758,18079,19554
1204,18731,19761,18085,19566
1205,18740,19766,18093,19577
1206,18751,19774,18101,19586
1207,18762,19786,18110,19595
1208,18772,19800,18119,19603
1209,18780,19814,18129,19611
1210,18785,19827,18137,19619
1211,18786,19837,18144,19626
1212,18785,19844,18149,19630
1213,18782,19849,18153,19633
1214,18780,19851,18156,19635
1215,18781,19851,18159,19637
1216,18785,19850,18161,19638
1217,18791,19848,18163,19640
1218,18799,19847,18166,19643
1219,18808,19848,18170,19647
1220,18818,19852,18178,19651
1221,18829,19860,18187,19655
1222,18839,19871,18198,19660
1223,18849,19885,18209,19665
1224,18857,19898,18220,19670
1225,18865,19909,18229,19677
1226,18871,19917,18238,19683
1227,18877,19923,18246,19691
1228,18883,19927,18255,19700
1229,18890,19934,18266,19711
1230,18899,19945,18280,19725
1231,18911,19960,18296,19742
1232,18926,19980,18316,19762
1233,18944,20001,18338,19784
1234,18964,20022,18361,19806
1235,18985,20040,18382,19829
1236,19006,20055,18402,19850
1237,19027,20067,18418,19870
1238,19046,20077,18433,19888
1239,19065,20086,18446,19904
1240,19084,20096,18458,19919
1241,19102,20106,18471,19932
